place,category,Indoor,age,Address,photo-jpeg,web address,latitude,longitude,location,,,,,,,
Kids World Play,Soft Play Centre,Indoor,0-11,"level 4, The Macquarie Centre, 197-223 Herring Road Macquarie Park 2113",kidsworldplay_1,,-33.776757,151.120409,Shopping center,,,,,,,
Mindarie Park,Playground,Outdoor,any,"18A Mindarie St, Lane Cove North NSW 2066",mindariepark_1,https://planetmino.com.au/,-33.805793,151.156776,Park,,,,,,,
Planet Mino,Soft Play Centre,Indoor,any,"10 Smith St, Chatswood NSW 2067",planetmino_1,,-33.786969,151.197915,Building,,,,,,,
The Canopy Playground,Playground,Outdoor,any,"2 Rosenthal Ave, Lane Cove NSW 2066",thecanopy_1,,-33.813589,151.168918,Outside,,,,,,,
Hallstrom Park,Playground,Outdoor,any,"13 Small St, Willoughby NSW 2068",hallstrom_park_1,,-33.811442,151.201128,Park,,,,,,,
Willoughby Leisure Centre,Swimming pool,Indoor,any,"Small Street, Willoughby NSW 2068",willoughby_leisure_centre_pool_1,,-33.811551,151.203705,Building,,,,,,,
Hammond Playground,Playground,Outdoor,any,"Beauchamp Ave, Chatswood NSW 2067",hammond_playground_1,,-33.790596,151.187431,Park,,,,,,,
North Sydney Playground,Playground,Outdoor,any,"208 Falcon St, North Sydney NSW 2060",northsydney_playground_1,https://www.northsydney.nsw.gov.au/Recreation_Facilities/Playgrounds,-33.844732,151.218383,Park,,,,,,,
Waverton Park,Park,Outdoor,any,"Woolcott St, Waverton NSW 2060",waverton_park_1,,-33.840463,151.198256,Park,,,,,,,
Chatswood Park,Playground,Outdoor,any,"35 Orchard Rd, Chatswood NSW 2067",chatswood_park_1,,-33.799615,151.181904,Park,,,,,,,
Lane Cove Aquatic Leisure Centre,Swimming pool,both,any,"2 Little St, Lane Cove NSW 2066",,https://lanecoveaquatic.com.au/learn-to-swim/,-33.813709,151.171341,Building,,,,,,,
