place,category,indoor,photo
Kids World Play,Soft Play Centre,Indoor,kidsworldplay_1
Mindarie Park,Playground,Outdoor,mindariepark_1
Planet Mino,Soft Play Centre,Indoor,planetmino_1
The Canopy Playground,Playground,Outdoor,thecanopy_1
Hallstrom Park,Playground,Outdoor,hallstrom_park_1
Willoughby Leisure Centre,Swimming pool,Indoor,willoughby_leisure_centre_pool_1
Hammond Playground,Playground,Outdoor,hammond_playground_1
North Sydney Playground,Playground,Outdoor,northsydney_playground_1
Waverton Park,Park,Outdoor,waverton_park_1
Chatswood Park,Playground,Outdoor,chatswood_park_1
Lane Cove Aquatic Leisure Centre,Swimming pool,both,chatswood_park_1
